city,state,count
HUNTSVILLE,TEXAS,42
PHOENIX,ARIZONA,36
,,34
PHILIPSBURG,PENNSYLVANIA,22
LOS ANGELES,CALIFORNIA,21
SAN DIEGO,CALIFORNIA,19
CRANSTON,RHODE ISLAND,19
WHITE DEER,PENNSYLVANIA,19
ATLANTA,GEORGIA,13
FRENCH CAMP,CALIFORNIA,13
FRESNO,CALIFORNIA,10
SAN ANTONIO,TEXAS,9
MODESTO,CALIFORNIA,8
EDINBURG,TEXAS,8
CALIPATRIA,CALIFORNIA,7
TALLAHASSEE,FLORIDA,7
ORLANDO,FLORIDA,7
TRACY,CALIFORNIA,7
ROCKVILLE,MARYLAND,6
CHOWCHILLA,CALIFORNIA,5
DALLAS,TEXAS,5
NATCHEZ,MISSISSIPPI,5
ELMHURST,NEW YORK,5
RALEIGH,NORTH CAROLINA,5
TAMPA,FLORIDA,5
PECOS,TEXAS,5
RIVERSIDE,CALIFORNIA,4
MIAMI,FLORIDA,4
IONE,CALIFORNIA,4
DECATUR,GEORGIA,4
VISTA,CALIFORNIA,4
BEEVILLE,TEXAS,4
WASCO,CALIFORNIA,4
LEWISBURG,PENNSYLVANIA,4
HOUSTON,TEXAS,4
BRADFORD,PENNSYLVANIA,4
PORTLAND,OREGON,4
DUBLIN,CALIFORNIA,4
FAIRFAX,VIRGINIA,3
BEAUMONT,TEXAS,3
POST,TEXAS,3
HUMBLE,TEXAS,3
MCRAE,GEORGIA,3
SAN FRANCISCO,CALIFORNIA,3
JAMESTOWN,CALIFORNIA,3
LAWRENCEVILLE,GEORGIA,3
ALBUQUERQUE,NEW MEXICO,3
DELANO,CALIFORNIA,3
SANTA ANA,CALIFORNIA,3
BRUNSWICK,GEORGIA,3
MORGANTOWN,WEST VIRGINIA,3
REPRESA,CALIFORNIA,3
WINSTON-SALEM,NORTH CAROLINA,3
FLORENCE,ARIZONA,3
COLORADO SPRINGS,COLORADO,3
GRANTS,NEW MEXICO,3
BOSTON,MASSACHUSETTS,3
SALINAS,CALIFORNIA,3
LEXINGTON,OKLAHOMA,3
LINCOLN,NEBRASKA,3
TUCSON,ARIZONA,3
GAINESVILLE,GEORGIA,2
SANTA BARBARA,CALIFORNIA,2
SOMERVILLE,NEW JERSEY,2
WASECA,MINNESOTA,2
LYONS,GEORGIA,2
FAIRFIELD,CALIFORNIA,2
FLORENCE,COLORADO,2
ANNANDALE,NEW JERSEY,2
SAFFORD,ARIZONA,2
WEST PALM BEACH,FLORIDA,2
WAYMART,PENNSYLVANIA,2
YAZOO CITY,MISSISSIPPI,2
GREENSBORO,NORTH CAROLINA,2
SACRAMENTO,CALIFORNIA,2
VICTORVILLE,CALIFORNIA,2
ERIE,PENNSYLVANIA,2
ALLENTOWN,PENNSYLVANIA,2
NEW YORK,NEW YORK,2
SAN JOSE,CALIFORNIA,2
WASHINGTON,DISTRICT OF COLUMBIA,2
WHEATON,ILLINOIS,2
ASHLAND,KENTUCKY,2
RED BLUFF,CALIFORNIA,2
JOLIET,ILLINOIS,2
BARTOW,FLORIDA,2
LOMPOC,CALIFORNIA,2
DENVER,COLORADO,2
CAMP HILL,PENNSYLVANIA,2
MORRISTOWN,NEW JERSEY,2
BROOKLYN,NEW YORK,2
VISALIA,CALIFORNIA,2
SAN ANGELO,TEXAS,2
ANCHORAGE,ALASKA,2
UPPER MARLBORO,MARYLAND,2
RANCHO CUCAMONGA,CALIFORNIA,2
AUSTIN,TEXAS,2
RAY BROOK,NEW YORK,2
RENO,NEVADA,2
COCOA,FLORIDA,2
FARMINGTON,UTAH,2
NORTH CHARLESTO,SOUTH CAROLINA,2
OAKDALE,LOUISIANA,2
LAS VEGAS,NEVADA,2
LANCASTER,PENNSYLVANIA,1
LAWRENCE,MASSACHUSETTS,1
TEXARKANA,TEXAS,1
WINDER,GEORGIA,1
PINE PRAIRIE,LOUISIANA,1
YOUNGSTOWN,OHIO,1
SAN LUIS OBISPO,CALIFORNIA,1
POUGHKEEPSIE,NEW YORK,1
BUTNER,NORTH CAROLINA,1
BRYAN,TEXAS,1
CAMERON,MISSOURI,1
SAN QUENTIN,CALIFORNIA,1
SALT LAKE CITY,UTAH,1
AIEA,HAWAII,1
LOCKHART,TEXAS,1
PINE BLUFF,ARKANSAS,1
EDEN,TEXAS,1
MINNEAPOLIS,MINNESOTA,1
FT COLLINS,COLORADO,1
ST. LOUIS,MISSOURI,1
DENTON,TEXAS,1
CANTON,GEORGIA,1
MANASSAS,VIRGINIA,1
DOVER,NEW HAMPSHIRE,1
OCALA,FLORIDA,1
NORMAN,OKLAHOMA,1
TRENTON,NEW JERSEY,1
PITTSBURGH,PENNSYLVANIA,1
SPRINGFIELD,TENNESSEE,1
POLLOCK,LOUISIANA,1
LAKE CHARLES,LOUISIANA,1
VIRGINIA BEACH,VIRGINIA,1
MOULTRIE,GEORGIA,1
SUSANVILLE,CALIFORNIA,1
SAIPAN,NORTHERN MARIANA ISLANDS,1
GIDDINGS,TEXAS,1
Tuscon,ARIZONA,1
LAKE BUTLER,FLORIDA,1
ASHEBORO,NORTH CAROLINA,1
ABILENE,TEXAS,1
FORT WORTH,TEXAS,1
FOLKSTON,GEORGIA,1
CONCORD,MASSACHUSETTS,1
CENTENNIAL,COLORADO,1
SIGNAL HILL,CALIFORNIA,1
ARLINGTON,VIRGINIA,1
STANDISH,CALIFORNIA,1
OREGON CITY,OREGON,1
STUART,FLORIDA,1
OKLAHOMA CITY,OKLAHOMA,1
LEAVENWORTH,KANSAS,1
EAGLE PASS,TEXAS,1
PLACERVILLE,CALIFORNIA,1
WAUPUN,WISCONSIN,1
RICHARDSON,TEXAS,1
FREDERICK,MARYLAND,1
SAN BERNARDINO,CALIFORNIA,1
SANTEE,CALIFORNIA,1
TAFT,CALIFORNIA,1
COAL TOWNSHIP,PENNSYLVANIA,1
AVENAL,CALIFORNIA,1
NASHVILLE,TENNESSEE,1
PATERSON,NEW JERSEY,1
JEROME,IDAHO,1
SANTA ROSA,CALIFORNIA,1
NAPA,CALIFORNIA,1
FOLSOM,CALIFORNIA,1
PETERSBURG,VIRGINIA,1
MERCED,CALIFORNIA,1
FORT PIERCE,FLORIDA,1
MADISON,WISCONSIN,1
DAYTON,TEXAS,1
JESUP,GEORGIA,1
CHALMETTE,LOUISIANA,1
AMARILLO,TEXAS,1
INDIANA,PENNSYLVANIA,1
SNOW HILL,MARYLAND,1
WACO,TEXAS,1
STILLWATER,MINNESOTA,1
GREENVILLE,SOUTH CAROLINA,1
PASADENA,CALIFORNIA,1
SAVANNAH,GEORGIA,1
CHARLESTON,WEST VIRGINIA,1
ROCKFORD,ILLINOIS,1
CORCORAN,CALIFORNIA,1
EL CENTRO,CALIFORNIA,1
DES MOINES,IOWA,1
BELTON,TEXAS,1
CHICAGO,ILLINOIS,1
INDIANAPOLIS,INDIANA,1
FAYETTEVILLE,NORTH CAROLINA,1
GREELEY,COLORADO,1
ELY,NEVADA,1
IRVING,TEXAS,1
WESTERN,ILLINOIS,1
DONNA,TEXAS,1
SHERIDAN,OREGON,1
BUSHNELL,FLORIDA,1
MANKATO,MINNESOTA,1
LAREDO,TEXAS,1
ELMIRA,NEW YORK,1
MEMPHIS,TENNESSEE,1
NAPANOCH,NEW YORK,1
MANCHESTER,KENTUCKY,1
FT. WORTH,TEXAS,1
ALBERTVILLE,ALABAMA,1
GATESVILLE,TEXAS,1
LITTLETON,COLORADO,1
YUMA,ARIZONA,1
YUBA,CALIFORNIA,1
COLEMAN,FLORIDA,1
YORK,SOUTH CAROLINA,1
CHINO,CALIFORNIA,1
KEARNEY,NEW JERSEY,1
MARCY,NEW YORK,1
WICHITA,KANSAS,1
POMONA,CALIFORNIA,1
TENNESSEE COLONY,TEXAS,1
KEY WEST,FLORIDA,1
AZTEC,NEW MEXICO,1
BIG SPRING,TEXAS,1
HACKENSACK,NEW JERSEY,1
FORREST CITY,ARKANSAS,1
MANHATTAN,NEW YORK,1
NEW BRAUNFELS,TEXAS,1
MILPITAS,CALIFORNIA,1
MADERA,CALIFORNIA,1
JONESBORO,GEORGIA,1
OAKDALE,IOWA,1
HAGERSTOWN,MARYLAND,1
TACOMA,WASHINGTON,1
LAFAYETTE,INDIANA,1
CUMMING,GEORGIA,1
YAKIMA,WASHINGTON,1
CHULA VISTA,CALIFORNIA,1
LAS CRUCES,NEW MEXICO,1
FORT LAUDERDALE,FLORIDA,1
PLAINFIELD,INDIANA,1
EL PASO,TEXAS,1
QUITMAN,GEORGIA,1
STEPHENVILLE,TEXAS,1
BOISE,IDAHO,1
HURRICANE,UTAH,1
VENTURA,CALIFORNIA,1
GOLDEN,COLORADO,1
MOBERLY,MISSOURI,1
ESTILL,SOUTH CAROLINA,1
GOODYEAR,ARIZONA,1
